remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.31214392363652405,0.9936547708800652,0.8330965491489816,0.9538645838220653,0.9534607424999006,RainIntensityMin,0.0014766419048350711
RainIntensityMin,0.3122038833914177,0.9936523329346488,0.8348833210567916,0.9536664750562464,0.953449253517144,RainIntensityMax,0.0020649254395849574
RainIntensityMax,0.312020005095123,0.9936598078864091,0.83431981511532,0.9537289997341417,0.9534572021788654,SYNOPCode,0.002158324403630752
SYNOPCode,0.3130216560075933,0.9936190358038585,0.8380346612535376,0.9533160350252089,0.9532063324267321,WindDirection,0.002512348021674089
WindDirection,0.30931156369017576,0.9937694002775553,0.8262123373855682,0.9546239045085998,0.9543494979850337,RainIntensity,0.004344980265228833
RainIntensity,0.30905494662520044,0.9937797342912504,0.828005726930334,0.9544267025771654,0.9544383858062793,WindSpeedMin,0.00510076883921226
WindSpeedMin,0.30876481110928583,0.9937914077680872,0.8254684132451034,0.9547055812740949,0.9545154746821406,AbsoluteHumidityMin,0.007292032165798088
AbsoluteHumidityMin,0.305251454839826,0.9939318958897403,0.8176979987712353,0.9555543111798008,0.9555436594632007,WindSpeed,0.009608888881398325
WindSpeed,0.3098571836099475,0.993747399563178,0.834740836693901,0.953682288617905,0.9542195346326487,AbsoluteHumidityMax,0.01008333904959771
AbsoluteHumidityMax,0.3061742481916217,0.9938951519528079,0.824749983741802,0.9547843891014967,0.9553247431405072,WindSpeedMax,0.014493507165678113
WindSpeedMax,0.3105077373390149,0.993721116986427,0.8453241745454547,0.9525003565411208,0.954008833385731,Time,0.023572074057071127
Time,0.36386678768806024,0.9913777150405658,0.9788331798330633,0.936311483014203,0.937851333806892,ParticulateMax,0.02738934112511186
ParticulateMax,0.36353737117399404,0.9913933198577549,0.9750816697444621,0.936798737138427,0.9379931004918104,TemperatureDifference,0.029812722991603174
TemperatureDifference,0.41673584193525387,0.9886900874556058,1.136174475971217,0.9141908047703394,0.9182146212353487,TemperatureMax,0.034378237788766
TemperatureMax,0.41456631871701377,0.9888075395458082,1.1304258417121311,0.9150569353968869,0.9190352733554685,RelativeHumidity,0.035740832579222864
RelativeHumidity,0.4163285513700126,0.9887121838015469,1.138250584773942,0.9138769234192032,0.9181890361027557,Particulate,0.051360721119286204
Particulate,0.41740871473851177,0.9886535353976669,1.1418751550106867,0.9133275608205578,0.9177507787661426,TemperatureMin,0.055396996553693637
TemperatureMin,0.41324419980484345,0.9888788148363694,1.1301072414498452,0.9151048095129051,0.9193923327121355,VisibilityMin,0.05799428925917099
VisibilityMin,0.4112608517333018,0.9889853099784843,1.1226489452085435,0.9162216665681916,0.920121855247728,AbsoluteHumidity,0.0665455446245337
AbsoluteHumidity,0.5076531232020355,0.9832169200590203,1.3416365330564275,0.8803497740859568,0.8803476004558405,VisibilityMax,0.08410294543266156
VisibilityMax,0.505603121684973,0.9833521930242113,1.3373666896609373,0.8811101510554513,0.8810622547808288,ParticulateMin,0.14418547769064305
ParticulateMin,0.6872594912928729,0.9692405170447553,1.8367851999202647,0.7757355092914204,0.7789442220868452,Temperature,0.2408322863716753
Temperature,1.0888782813391717,0.9227859718881591,2.5969852885158287,0.5516855363478167,0.5579398113259033,Visibility,0.4878249659101083
Visibility,2.4131368115906553,0.6207710986979917,3.33884510951144,0.2589691025118461,0.26666057131120713,Distance,1.0
Distance,2.4131368115906553,0.6207710986979917,3.33884510951144,0.2589691025118461,0.26666057131120713,Distance,1.0
