remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.29578138028240963,0.994274345235155,0.7601906307507431,0.9615066777547981,0.9581815448891434,RainIntensityMin,0.0014127382560164949
RainIntensityMin,0.2960182566620689,0.9942651707870838,0.7588590376048611,0.9616414138308957,0.9581323346937701,RainIntensity,0.002064807304527615
RainIntensity,0.2952684922850403,0.9942941847094225,0.7590374481238145,0.9616233752245135,0.9583097794702895,SYNOPCode,0.00207883507844668
SYNOPCode,0.29615506234126276,0.9942598688269475,0.7601592359560306,0.9615098571283561,0.958109420499818,WindDirection,0.0023252280056603528
WindDirection,0.2918633027542495,0.9944250306895007,0.7515520185207466,0.9623765635026014,0.9592778540373104,RainIntensityMax,0.0039585737250307906
RainIntensityMax,0.29187906320917206,0.9944244285828022,0.75470987538309,0.9620597283939708,0.9592890794443809,WindSpeedMin,0.004959595859303686
WindSpeedMin,0.2914675587944871,0.9944401388901606,0.7544544357115869,0.9620854066333686,0.9594064699542126,AbsoluteHumidityMin,0.006940777794559859
AbsoluteHumidityMin,0.2889947602616606,0.9945340779615138,0.7493603043112679,0.9625956822903664,0.9600876575604271,WindSpeed,0.009488268106850441
WindSpeed,0.29343747586624225,0.9943647309983762,0.7608056362810205,0.9614443692199351,0.958867233949479,AbsoluteHumidityMax,0.011126069635225198
AbsoluteHumidityMax,0.2900610797122686,0.994493667736119,0.7482971348495232,0.9627017432010003,0.9598256708760414,WindSpeedMax,0.01425838609973973
WindSpeedMax,0.29449238985557935,0.9943241403424559,0.7606231360946449,0.9614628642613211,0.9584787508104329,TemperatureMax,0.023311931697094054
TemperatureMax,0.2913595633595182,0.9944442582397244,0.7547005199422941,0.9620606690091036,0.9593414491256251,Time,0.024356154910128346
Time,0.34825092920227035,0.9920627864815548,0.9010959848027585,0.9459142969900125,0.9428156292076277,ParticulateMax,0.02633836665166895
ParticulateMax,0.3475180704283167,0.9920961574539658,0.8993808409315329,0.946119994228691,0.943144719470619,TemperatureDifference,0.030680130381276736
TemperatureDifference,0.4051307008451416,0.9892582805284085,1.0577803837960027,0.9254699542466606,0.9223656330524878,RelativeHumidity,0.0360403014860051
RelativeHumidity,0.4075812280122945,0.9891279399477235,1.0707507240697698,0.9236309965386811,0.9212145472296281,VisibilityMax,0.04575500380105581
VisibilityMax,0.4061661996201593,0.9892032994945695,1.0576679536775309,0.9254857968103593,0.9218243253005299,TemperatureMin,0.053880387237059735
TemperatureMin,0.40220253052453525,0.9894129956130506,1.0469504269394185,0.9269882754438018,0.9233445248136256,Particulate,0.06184550893511977
Particulate,0.40287485506819265,0.9893775714099665,1.049584372422053,0.926620443682102,0.9229320812510714,AbsoluteHumidity,0.06785786936313681
AbsoluteHumidity,0.5004794126390498,0.9836070946876835,1.2885068003459341,0.8894105240778255,0.8834211034879722,VisibilityMin,0.08967514839945126
VisibilityMin,0.49802530396529754,0.9837674662672264,1.283566571273109,0.8902569146367822,0.8847612625782221,ParticulateMin,0.14201704695470885
ParticulateMin,0.6782715363746632,0.9698913918034989,1.7938643772333431,0.7856519280532877,0.7834215552368102,Temperature,0.24079910815296426
Temperature,1.113951568912362,0.9187887650640005,2.5645908554726553,0.5618966755019363,0.5601543449226432,Visibility,0.48746872602199764
Visibility,2.453507478014749,0.6060344312478876,3.3364956790775016,0.25848233165224777,0.27528291639222224,Distance,1.0
Distance,2.453507478014749,0.6060344312478876,3.3364956790775016,0.25848233165224777,0.27528291639222224,Distance,1.0
