remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.31078091224880167,0.9936396763169114,0.8391369740590159,0.9541762691581451,0.9542247088805763,RainIntensityMin,0.001549724452560996
RainIntensityMin,0.31001200003605023,0.9936711099118433,0.8395285664104902,0.9541334908990494,0.9544775107834224,SYNOPCode,0.001855584201301712
SYNOPCode,0.3100285452678416,0.9936704343525248,0.8402828867377785,0.9540510313263998,0.9544224841123892,RainIntensityMax,0.0022361948959194085
RainIntensityMax,0.30940720540500977,0.9936957795703346,0.8401522756474556,0.9540653145602225,0.9546386672848834,WindDirection,0.002595308831264359
WindDirection,0.3060656648547617,0.993831213098854,0.8295684573027827,0.9552153492684519,0.955591795304344,RainIntensity,0.004628580361976478
RainIntensity,0.3063444224259206,0.9938199712031736,0.828683748249865,0.9553108212167768,0.9555752749716039,WindSpeed,0.005202282850536458
WindSpeed,0.30632069729745803,0.9938209284022523,0.8289076317443969,0.9552866708190619,0.9555853240943822,AbsoluteHumidityMin,0.007884485758917155
AbsoluteHumidityMin,0.30282969655473885,0.9939609661167261,0.8201326638178941,0.9562283468937938,0.956582015475729,WindSpeedMin,0.010760020079203014
WindSpeedMin,0.30829234034698555,0.9937411288224894,0.8295921756972877,0.9552127883340538,0.9550470162808592,AbsoluteHumidityMax,0.012051739728031053
AbsoluteHumidityMax,0.3047041243729563,0.9938859750166833,0.8196592347479348,0.9562788674808393,0.9560962674834084,WindSpeedMax,0.014210568277389504
WindSpeedMax,0.31095420800694107,0.9936325811294207,0.8395117918922127,0.9541353237870285,0.9542191443936021,TemperatureDifference,0.02343085667296733
TemperatureDifference,0.33771551265937216,0.9924894357860352,0.9158554237961372,0.9454143389710598,0.9460509887194526,ParticulateMax,0.026879339504522707
ParticulateMax,0.3373689592750425,0.9925048421022161,0.9134135759558916,0.94570502282077,0.9461751774353369,TemperatureMax,0.02705685812875285
TemperatureMax,0.3342837643924657,0.9926412997642494,0.9072086407458662,0.9464401827371387,0.947117297916413,Time,0.03046313750816476
Time,0.4138871531856909,0.9887193419079962,1.1155839130864258,0.9190104069750938,0.9193630338316972,RelativeHumidity,0.03693529209029571
RelativeHumidity,0.417333317197254,0.9885307067169097,1.119183167835409,0.9184869637509963,0.917966116888703,VisibilityMax,0.048458778003536755
VisibilityMax,0.41552429371039074,0.9886299235836175,1.1154002151597098,0.9190370771255614,0.9186434718755248,TemperatureMin,0.05804863193581469
TemperatureMin,0.41198238779416635,0.9888229332559602,1.1075829982015242,0.920167948156896,0.9199382768036283,Particulate,0.06308617984448829
Particulate,0.41230445858910963,0.9888054508879361,1.1098933559322814,0.9198345501813903,0.9198003055556687,AbsoluteHumidity,0.06978110089067487
AbsoluteHumidity,0.5092087518027633,0.9829249390670424,1.3366292400748947,0.8837356292165847,0.8794656549404156,VisibilityMin,0.09622545903300808
VisibilityMin,0.5054908689166415,0.9831733688997549,1.3321193931468145,0.8845188680320435,0.8813012083888984,ParticulateMin,0.14569636159544413
ParticulateMin,0.6907274458458199,0.9685816068862161,1.8014882200576052,0.7888030783334661,0.7755951626819815,Temperature,0.2434571126037108
Temperature,1.0967260775193117,0.9207923946371652,2.5753216135191894,0.5683937987275629,0.5543332531038505,Visibility,0.48840974358803535
Visibility,2.4163844830684913,0.6154944436511963,3.3505369178472133,0.2694439432186043,0.2683462752536413,Distance,1.0
Distance,2.4163844830684913,0.6154944436511963,3.3505369178472133,0.2694439432186043,0.2683462752536413,Distance,1.0
