remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.20497899460681154,0.9964587374702354,0.5524959743492568,0.9739966107757667,0.9741476576305707,WindSpeedMin,0.0008293131489544086
WindSpeedMin,0.20476036829616104,0.9964662875148985,0.5537906249243103,0.9738746017551551,0.9742026775189429,WindDirection,0.0009301879036935092
WindDirection,0.2036469901506517,0.9965046119407691,0.5496756515216284,0.9742614118665346,0.9744698309177281,TemperatureRange,0.0010871977264665697
TemperatureRange,0.20128866398480888,0.9965850995993971,0.5409880977730124,0.9750685727440883,0.9750431875196038,AbsoluteHumidityRange,0.0012625114944639479
AbsoluteHumidityRange,0.20039544013726313,0.99661533977871,0.540096703169947,0.9751506648662301,0.9752878018962984,VisibilityRange,0.0013844184393886126
VisibilityRange,0.19884337045608722,0.996667565371147,0.5335402901259313,0.9757503116290738,0.9756617062135603,RainIntensityRange,0.0015305813387060162
RainIntensityRange,0.19724853860001698,0.9967208068708283,0.5332621855127749,0.9757755850440601,0.9760067954794003,WindSpeedRange,0.0015433943624821934
WindSpeedRange,0.19695858476907357,0.9967304405621283,0.5318993092442769,0.9758992491347548,0.9761149981637856,WindSpeed,0.001734625558556236
WindSpeed,0.19843293518064237,0.9966813082193736,0.5337723489003839,0.9757292126535968,0.9757264187783206,ParticulateRange,0.002586872226058946
ParticulateRange,0.19602351944798774,0.9967614114838945,0.5265644446141347,0.9763802779747018,0.9763050680745485,Particulate,0.0030168698722260637
Particulate,0.19636490126206732,0.9967501214311276,0.5283107986254424,0.9762233482883194,0.9762157528250064,WindSpeedMax,0.0033713869219338852
WindSpeedMax,0.1951379960445018,0.9967906056161121,0.5367686201801629,0.9754559651868466,0.976448888977909,VisibilityMax,0.0056667374770818894
VisibilityMax,0.1950865319746276,0.9967922982307754,0.5326135406243097,0.9758344809752384,0.976452804299749,AbsoluteHumidityMin,0.006613693297111012
AbsoluteHumidityMin,0.19133070174029584,0.9969146194630933,0.5256969191624157,0.9764580417918438,0.9773582333345874,TemperatureMin,0.006871982638941296
TemperatureMin,0.18892957498000287,0.9969915742171808,0.5231376149660991,0.9766867072722842,0.9778888557534943,Time,0.007371404430705382
Time,0.20286339182276075,0.9965314594839207,0.5651138880028925,0.9727953162517362,0.9744662314378202,ParticulateMin,0.008414421923944803
ParticulateMin,0.2026490630333146,0.9965387847619941,0.5566051862965964,0.9736083697528102,0.9745206314842473,TemperatureDifference,0.009179205325610163
TemperatureDifference,0.22030739928890458,0.9959093005323161,0.601200435409335,0.9692099571294178,0.9700117509122312,AbsoluteHumidityMax,0.010079083611551926
AbsoluteHumidityMax,0.21838408196944475,0.995980413622391,0.595869709095337,0.9697535549489351,0.9705438737359734,VisibilityMin,0.010723731414560848
VisibilityMin,0.2183355174643923,0.995982201184156,0.5943088656038221,0.9699118047622742,0.97054313970937,Frequency,0.012037000352814114
Frequency,0.2751593721005033,0.9936187166912563,0.7403051612820529,0.9533132894892474,0.9536392730968914,TemperatureMax,0.013293605433381955
TemperatureMax,0.2747652674058839,0.9936369831430011,0.737708840767667,0.9536401847120825,0.9537777827465048,RelativeHumidity,0.020871832993017213
RelativeHumidity,0.2780333160927413,0.9934847199803203,0.7456347124753284,0.9526386626802339,0.9527237448268822,ParticulateMax,0.02856413483966385
ParticulateMax,0.27764660628475524,0.9935028312667604,0.7494414661683977,0.9521538323059282,0.9526098110868042,SYNOPCode,0.03772339183280071
SYNOPCode,0.2787488973394157,0.9934511397469141,0.7451696725353475,0.9526977212106659,0.9522370755199969,Visibility,0.03986585486790383
Visibility,0.3209380331301009,0.9913187596506886,0.8853516871743065,0.9332266201765131,0.9370804931109018,RainIntensityMin,0.07766278683634904
RainIntensityMin,0.3203283618163776,0.9913517110338809,0.8806761991599702,0.9339300102348042,0.9373312400142704,Temperature,0.10583668060293026
Temperature,0.40254825232767477,0.9863423714214795,1.074690155131309,0.9016128769159887,0.9062961963799516,RainIntensityMax,0.1342574245904552
RainIntensityMax,0.4019590313468411,0.9863823242553972,1.0736968305175896,0.9017946691935246,0.9065808374363219,Distance,0.2573518092811792
Distance,0.8908600697221856,0.9331104316212575,2.15680153909909,0.603729183047893,0.6114826372505083,RainIntensity,0.4580940293782167
RainIntensity,1.4266016790659324,0.8284681117046426,3.4451705845993494,-0.011097837825992496,0.0022223626533964813,AbsoluteHumidity,1.0
AbsoluteHumidity,1.4266016790659324,0.8284681117046426,3.4451705845993494,-0.011097837825992496,0.0022223626533964813,AbsoluteHumidity,1.0
