n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
100,15,4,3,0.43710741571348916,0.9715340479852685,0.8877269999499002,0.9409903280103773
120,15,4,3,0.43481395931841516,0.9716834058257973,0.8812325059467332,0.941422035011389
140,15,4,3,0.4343948753542783,0.97171069802809,0.8816129607936055,0.9413967451241578
160,15,4,3,0.43411848981992485,0.9717286972133603,0.8805715918713471,0.9414659678001901
180,15,4,3,0.43383953021382016,0.9717468640311171,0.8818510319296767,0.9413809198764741
200,15,4,3,0.43310079491517445,0.9717949730377522,0.8813959776495184,0.9414111685946173
220,15,4,3,0.4325156108476809,0.9718330822552723,0.8788604094207982,0.9415797148363025
240,15,4,3,0.4316812905805185,0.9718874160868116,0.8766793056830239,0.9417246988416879
260,15,4,3,0.43174613732049255,0.9718831930420357,0.8773337506342852,0.9416811960734817
280,15,4,3,0.4317110065702855,0.9718854808784203,0.8770707691983752,0.9416986771777776
300,15,4,3,0.43138455928352165,0.971906740258761,0.8755249994225237,0.9418014287753403
100,15,5,3,0.4782968937147307,0.9688516462182308,0.9088524196464717,0.9395860628624116
120,15,5,3,0.4759830316352328,0.9690023329477528,0.9035484728179122,0.9399386308958514
140,15,5,3,0.47563454935128446,0.9690250273235888,0.9037749040914661,0.9399235793820624
160,15,5,3,0.4754522402297052,0.9690368999263407,0.9026591529945195,0.9399977464472261
180,15,5,3,0.4749892597989002,0.9690670508188978,0.9046158111541831,0.9398676819609548
200,15,5,3,0.47392132506191526,0.9691365984355362,0.9040717857959553,0.939903844833037
220,15,5,3,0.47346812102257546,0.9691661126555493,0.9024782886717188,0.9400097689996141
240,15,5,3,0.4729781568207177,0.969198020824932,0.900609948323517,0.9401339627563867
260,15,5,3,0.47318273925633664,0.9691846977066639,0.901430823347621,0.9400793969203588
280,15,5,3,0.4732801873565272,0.9691783515481587,0.9014292275041899,0.9400795030004909
300,15,5,3,0.47296302117579975,0.9691990065106616,0.8998811449709873,0.9401824083334394
