n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
100,15,4,3,0.1322927544980509,0.9888499846322208,0.3321757559325486,0.9717030483520436
120,15,4,3,0.13169776010498527,0.9889001324778197,0.334193067402615,0.9715312002743081
140,15,4,3,0.1313800335030777,0.9889269113933201,0.3332605615887564,0.9716106373537906
160,15,4,3,0.13119630534830973,0.9889423965327515,0.33359013555240363,0.9715825620402038
180,15,4,3,0.13124604045208144,0.9889382047145867,0.33470779440565473,0.971487352386987
200,15,4,3,0.13095369505424428,0.9889628444289154,0.3355526139749024,0.9714153850080459
220,15,4,3,0.13091233815377665,0.9889663301079121,0.3361043481973221,0.9713683845983667
240,15,4,3,0.13079996165194369,0.9889758015239937,0.33480215131196955,0.971479314434885
260,15,4,3,0.13071576035183421,0.9889828982527129,0.3344608528652835,0.971508388518321
280,15,4,3,0.13034414932098748,0.9890142187034852,0.33415584086347666,0.9715343714797895
300,15,4,3,0.13020627283098396,0.9890258393322053,0.3340658544861491,0.9715420371210133
100,15,5,3,0.15327007063054562,0.9870819558528705,0.3422948650587377,0.9708410349854741
120,15,5,3,0.15270274343611773,0.9871297718270743,0.34323145080084266,0.9707612503504272
140,15,5,3,0.15237396714837356,0.9871574820420049,0.3430971651855504,0.9707726896969029
160,15,5,3,0.15200354099230312,0.9871887026281095,0.3434192855592625,0.9707452493299377
180,15,5,3,0.15232829691739433,0.9871613312609527,0.34521166897910827,0.9705925621272742
200,15,5,3,0.15207618621465915,0.9871825798789935,0.34558826899322015,0.9705604808203165
220,15,5,3,0.15210926605196295,0.9871797918147817,0.3463525280894496,0.9704953761210533
240,15,5,3,0.15172692922111958,0.9872120162669502,0.34486872222104253,0.9706217766248932
260,15,5,3,0.15153830740378627,0.9872279138583938,0.34484628694467295,0.9706236878117251
280,15,5,3,0.1512226515396315,0.9872545182461369,0.34468472889546603,0.9706374504064513
300,15,5,3,0.1511513894119757,0.9872605244240377,0.3449060099794809,0.9706186002043425
100,15,6,3,0.1743315506461319,0.9853068334984152,0.36103485056613865,0.9692446377339721
120,15,6,3,0.17359564620610407,0.9853688576496747,0.35931869385994175,0.969390831435554
140,15,6,3,0.17322767052763893,0.9853998717024505,0.3578539232158039,0.9695156103917308
160,15,6,3,0.17244561101045133,0.9854657859368939,0.3569540343121271,0.9695922689447442
180,15,6,3,0.17272891376861582,0.9854419083623491,0.3584299715575657,0.9694665387428143
200,15,6,3,0.17256305028136884,0.9854558878160145,0.3592640281294122,0.9693954882279477
220,15,6,3,0.17272496384334132,0.9854422412734574,0.35885475293730373,0.9694303530250167
240,15,6,3,0.17227088387950956,0.9854805124440452,0.3571774138500522,0.969573239982302
260,15,6,3,0.1723374331877884,0.9854749034761706,0.35759649555943646,0.9695375398005303
280,15,6,3,0.17196368743245302,0.9855064038476871,0.35721968126729375,0.9695696393611231
300,15,6,3,0.17191642904193385,0.985510386921307,0.357355867106921,0.9695580381408345
100,15,7,3,0.19395021154518508,0.9836533161054962,0.3750087985672526,0.9680542434205506
120,15,7,3,0.19316906795459393,0.9837191531430012,0.3737199159609245,0.9681640390577692
140,15,7,3,0.1925007657166248,0.983775479585458,0.3729017991556777,0.9682337317167516
160,15,7,3,0.19190589169076144,0.9838256172861615,0.37169834966323906,0.9683362495901668
180,15,7,3,0.19187666588745877,0.9838280805212585,0.37244141988219626,0.9682729499011277
200,15,7,3,0.19163990676745657,0.983848035263576,0.3728862233280498,0.968235058569881
220,15,7,3,0.19169929193731747,0.983843030109975,0.37232238710730553,0.9682830899086853
240,15,7,3,0.19133103426756745,0.9838740679297906,0.37010835882915455,0.9684716956392816
260,15,7,3,0.191270972181788,0.98387913013582,0.37014658813038337,0.9684684390118213
280,15,7,3,0.19081069634124742,0.9839179235127884,0.36925584894428554,0.9685443181307208
300,15,7,3,0.19064748002379103,0.9839316798553396,0.3695563406561782,0.9685187202377676
100,20,4,3,0.11337033107140237,0.990444821120457,0.3192578876886506,0.9728034787313349
120,20,4,3,0.11278386785580116,0.9904942499337839,0.3208116120913461,0.9726711220993047
140,20,4,3,0.11243729819510975,0.990523459825568,0.32045040559635934,0.97270189208339
160,20,4,3,0.11224012053640467,0.9905400785280289,0.32132125890651697,0.9726277069763499
180,20,4,3,0.11228526651352443,0.9905362734947104,0.32206403282003676,0.9725644325285888
200,20,4,3,0.11203958754531261,0.9905569800275926,0.32303249954063296,0.9724819320586541
220,20,4,3,0.11193909774037099,0.9905654495985352,0.3236452885037851,0.9724297305979784
240,20,4,3,0.11178080574375471,0.9905787909051061,0.3221983914378576,0.9725529869632697
260,20,4,3,0.11169177385914933,0.9905862947694359,0.3220694880099405,0.9725639678190422
280,20,4,3,0.1113174912930726,0.9906178403849119,0.3219116073723406,0.9725774171472624
300,20,4,3,0.11114547842458182,0.9906323381261858,0.32195023975121767,0.9725741261829532
100,20,5,3,0.1365923253103377,0.9884876043883916,0.3334935316039961,0.9715907914103739
120,20,5,3,0.13606239309178791,0.9885322686060437,0.33414482072147306,0.9715353102491604
140,20,5,3,0.1357228665252307,0.9885608848855161,0.33376970574818066,0.9715672650504128
160,20,5,3,0.1353224202242096,0.9885946356561255,0.33394438221726214,0.9715523849409787
180,20,5,3,0.13569355445600104,0.9885633553913545,0.3357796831505857,0.9713960417375925
200,20,5,3,0.13546305061899286,0.9885827829203581,0.3362922967209625,0.9713523738865951
220,20,5,3,0.13545599479631185,0.9885833776054685,0.33661511989786513,0.9713248736501554
240,20,5,3,0.1351449994456108,0.9886095891916796,0.3350226767968877,0.9714605285997588
260,20,5,3,0.1349475093823604,0.9886262342244978,0.3350287371083943,0.9714600123419085
280,20,5,3,0.13467270501327178,0.9886493955302708,0.3347129451548521,0.9714869136117351
300,20,5,3,0.13459034902962144,0.9886563367303902,0.33484938284787236,0.9714752909368909
100,20,6,3,0.16003308181666098,0.986511949740716,0.3510834319157511,0.9700923661047198
120,20,6,3,0.15930388988981262,0.9865734081419811,0.3497071130620786,0.9702096101460412
140,20,6,3,0.1589330100624872,0.9866046669648091,0.3483417303953708,0.9703259225698433
160,20,6,3,0.15815481735174314,0.9866702552936395,0.3476918848230669,0.970381280760228
180,20,6,3,0.15840066273108197,0.9866495347351468,0.34924044457558207,0.9702493640876284
200,20,6,3,0.15820988950288653,0.9866656136537105,0.3497355567769253,0.9702071871202504
220,20,6,3,0.15833821515369564,0.9866547979972974,0.3494643656882083,0.9702302889902326
240,20,6,3,0.15791546805134335,0.9866904283438406,0.34786918217455237,0.9703661773865089
260,20,6,3,0.15796622143412165,0.9866861507021806,0.3482961375660275,0.9703298064718572
280,20,6,3,0.15758785314260143,0.9867180406743952,0.3478162067342676,0.970370690188679
300,20,6,3,0.15750675653291718,0.9867248757308401,0.3478533801164228,0.9703675235114648
100,20,7,3,0.18120471329169052,0.984727543503177,0.3666530000269022,0.9687660462028235
120,20,7,3,0.180393666007069,0.9847959009103671,0.365572048598425,0.9688581288721908
140,20,7,3,0.17971112104946077,0.9848534277703633,0.3644660570939929,0.9689523446226332
160,20,7,3,0.17909377632457374,0.9849054593664688,0.36324212906422204,0.9690566069947675
180,20,7,3,0.17906220709868945,0.984908120111988,0.3638062936734711,0.9690085476816349
200,20,7,3,0.17883263701267124,0.9849274689417618,0.3642504678134813,0.9689707099588671
220,20,7,3,0.17886903967224904,0.9849244008204934,0.3637334363801555,0.9690147541529662
240,20,7,3,0.17849971496953526,0.9849555285729285,0.36159447898282765,0.9691969648440485
260,20,7,3,0.17841427796652176,0.9849627294502569,0.3614313160725609,0.9692108641515689
280,20,7,3,0.1779766084328848,0.9849996175023998,0.36042193477606804,0.9692968499986125
300,20,7,3,0.17780873656330626,0.9850137662283275,0.3607867817557306,0.9692657698937042
100,25,4,3,0.11184757442423483,0.9905731634479089,0.3192357673956129,0.9728053630857809
120,25,4,3,0.11138625080215389,0.9906120451349313,0.3213972543723344,0.9726212331745047
140,25,4,3,0.11101274868012284,0.9906435249723293,0.3205283989006223,0.9726952480923095
160,25,4,3,0.11080326656171798,0.990661180730185,0.32058634377413053,0.9726903119605942
180,25,4,3,0.11082225404777837,0.9906595804100302,0.3212292321880956,0.9726355464274687
200,25,4,3,0.11061119114809699,0.9906773694006967,0.32233130886791755,0.9725416641679591
220,25,4,3,0.11052400963393368,0.9906847173104625,0.3232965582284521,0.972459437774264
240,25,4,3,0.11037943760558407,0.990696902258489,0.3217444533317133,0.9725916564459497
260,25,4,3,0.11027479071404112,0.9907057222006946,0.3216604445587545,0.97259881287487
280,25,4,3,0.10989017436047821,0.9907381387776205,0.32141420280581573,0.9726197893936321
300,25,4,3,0.10970965908608986,0.9907533531262157,0.32136983903094585,0.9726235685965691
100,25,5,3,0.13565402994822598,0.9885666866310038,0.3320809853815157,0.9717111215411681
120,25,5,3,0.1350802876942342,0.9886150432849523,0.33279688359527754,0.9716501365451896
140,25,5,3,0.1346851803411042,0.9886483440736163,0.33253651164635106,0.9716723167685132
160,25,5,3,0.1342673272243183,0.9886835619409237,0.3326247848242849,0.9716647970690674
180,25,5,3,0.1346207774136085,0.9886537721383205,0.3343578351894099,0.9715171642526755
200,25,5,3,0.13441970429963984,0.9886707191609999,0.33515237500907974,0.9714494800389482
220,25,5,3,0.1343941961964089,0.9886728690575993,0.3357921021128652,0.9713949838073588
240,25,5,3,0.1339846238762795,0.9887073889954522,0.334150427739342,0.9715348326058927
260,25,5,3,0.13379739838677204,0.9887231689003545,0.3340976311700561,0.9715393301706354
280,25,5,3,0.13351776528905415,0.9887467371853201,0.33392930524087133,0.9715536692986246
300,25,5,3,0.13342874608099345,0.9887542399812341,0.3342024704338228,0.971530399261246
100,25,6,3,0.15909514396962737,0.9865910018509251,0.35052413165704527,0.9701400110399525
120,25,6,3,0.15833057404514964,0.9866554420119907,0.3484276410173152,0.9703186041287115
140,25,6,3,0.15801435034420294,0.9866820942586583,0.3470397629757486,0.9704368328589366
160,25,6,3,0.1572026237702266,0.9867505089183167,0.34635527701496527,0.9704951419492
180,25,6,3,0.15747604290936024,0.9867274643637245,0.3479238700968662,0.9703615187036706
200,25,6,3,0.15733044894756776,0.9867397354432527,0.34896807285646536,0.9702725665316011
220,25,6,3,0.157444742913024,0.9867301024178,0.3486951905306876,0.9702958124724629
240,25,6,3,0.15697936555700534,0.9867693257652246,0.34709193501122687,0.970432388496159
260,25,6,3,0.15702825535275622,0.9867652051920608,0.34745941484136805,0.9704010841074449
280,25,6,3,0.15667873092095566,0.9867946641204864,0.3468973707807801,0.9704489627780656
300,25,6,3,0.15660666640866464,0.9868007379256813,0.3471726204836627,0.970425515168195
100,25,7,3,0.18053373846251622,0.9847840951993381,0.3660689620469363,0.9688157984625368
120,25,7,3,0.17973251667374568,0.984851624485365,0.36490507402291117,0.9689149462255848
140,25,7,3,0.1790969306585098,0.9849051935100959,0.36420924338723887,0.9689742217311
160,25,7,3,0.17846753673226198,0.9849582406476861,0.36300639830546605,0.9690766881167739
180,25,7,3,0.17841468113169034,0.9849626954703322,0.36360300701419856,0.9690258649983426
200,25,7,3,0.17821924841803058,0.984979167103786,0.36389137832848206,0.9690012996018885
220,25,7,3,0.17823828535792663,0.9849775626155189,0.3632195834190098,0.9690585275835554
240,25,7,3,0.17785617148087546,0.9850097682764981,0.36101774498175077,0.9692460949020094
260,25,7,3,0.17777545283044077,0.9850165714774461,0.3609467854594631,0.9692521397085171
280,25,7,3,0.1773373195325859,0.9850534986169766,0.3600116572059607,0.9693318001849408
300,25,7,3,0.17718057965140238,0.9850667091067767,0.3604013568215464,0.9692986029663524
100,30,4,3,0.11189649828791155,0.990569040003402,0.32050412618738855,0.9726973158042976
120,30,4,3,0.11131160557498165,0.9906183364502286,0.3219436333240721,0.9725746889625847
140,30,4,3,0.11100519507155453,0.9906441616122719,0.3209329464450452,0.9726607860278771
160,30,4,3,0.11082014541246493,0.9906597581319035,0.3221178479684964,0.9725598481944624
180,30,4,3,0.11082274506753513,0.9906595390254672,0.32269369760636435,0.9725107934724719
200,30,4,3,0.11054899763926387,0.990682611249216,0.32373394236425895,0.9724221784694488
220,30,4,3,0.11045216288636855,0.9906907727618174,0.3241867218490761,0.9723836076858795
240,30,4,3,0.11026165770529507,0.9907068290885956,0.32264581053181,0.972514872813631
260,30,4,3,0.11017421128165703,0.9907141993256968,0.3222107062829374,0.972551937902435
280,30,4,3,0.1097995570116659,0.990745776269452,0.3215054593497148,0.9726120155511281
300,30,4,3,0.1096422937562162,0.9907590308707467,0.32163621625284505,0.9726008768039456
100,30,5,3,0.13547752520090187,0.9885815629607969,0.3312529766066326,0.9717816568642568
120,30,5,3,0.13493425911451867,0.988627350995334,0.3320091070050932,0.9717172446218139
140,30,5,3,0.13458652887892497,0.9886566587037223,0.33192703691680003,0.9717242359006134
160,30,5,3,0.1341724242330268,0.9886915606390788,0.3320150087527255,0.9717167418714945
180,30,5,3,0.13454069699510687,0.9886605215472382,0.3338679543187947,0.971558895580328
200,30,5,3,0.13434663148708423,0.9886768779486527,0.3345624466957081,0.9714997340766409
220,30,5,3,0.13434482857935867,0.988677029902922,0.3352330852708847,0.97144260459926
240,30,5,3,0.1340224574485657,0.9887042002727288,0.3337240834745541,0.9715711514606875
260,30,5,3,0.13383404773360108,0.9887200799875724,0.33371212481555895,0.9715721701792103
280,30,5,3,0.13355846923441597,0.9887433065392652,0.33328552012295537,0.9716085112189875
300,30,5,3,0.1334731782082657,0.9887504951132421,0.3338452316406803,0.9715608312499621
100,30,6,3,0.15912163326854586,0.9865887692563197,0.35017775599696377,0.9701695176343692
120,30,6,3,0.15830844977370087,0.9866573067094762,0.3484816714965952,0.9703140014512662
140,30,6,3,0.15797192643605296,0.9866856698681437,0.3473336559173317,0.9704117970933542
160,30,6,3,0.15717605881373517,0.9867527478895609,0.3467894584686137,0.9704581554702626
180,30,6,3,0.15744859572506312,0.9867297776916757,0.34824140981983914,0.9703344685471592
200,30,6,3,0.15728020809796087,0.9867439698871369,0.34893181441648774,0.9702756552679238
220,30,6,3,0.1574169861968025,0.9867324418339956,0.3486953434482537,0.9702957994459223
240,30,6,3,0.15698179499819068,0.986769121004906,0.3470752250664855,0.9704338119609661
260,30,6,3,0.15707481311147678,0.9867612811697121,0.3475729972927875,0.9703914083948786
280,30,6,3,0.15672671933961557,0.9867906195179867,0.3470708099571006,0.9704341880695008
300,30,6,3,0.15665347493641474,0.9867967927677946,0.3473087265012876,0.9704139207476783
100,30,7,3,0.18049335206018344,0.9847874990819495,0.3659756719132979,0.9688237455398104
120,30,7,3,0.17966766931837158,0.9848570900077341,0.3650903817916913,0.9688991604709669
140,30,7,3,0.17898386615704942,0.9849147229127727,0.3640749362249185,0.9689856629130956
160,30,7,3,0.1783940918815588,0.9849644307917884,0.3628610393304873,0.9690890707660585
180,30,7,3,0.17836952942736514,0.9849665009863563,0.36351087249863007,0.9690337136323431
200,30,7,3,0.1781634732772419,0.9849838679937122,0.36399377359366764,0.9689925768886375
220,30,7,3,0.17818139061291136,0.9849823578689224,0.36346499048877795,0.969037622168686
240,30,7,3,0.17778811846074347,0.9850155039815499,0.3613645384005822,0.9692165527201095
260,30,7,3,0.17770544929292642,0.9850224715777354,0.36134148423603024,0.9692185166279744
280,30,7,3,0.17728229303513493,0.9850581364090805,0.36040227268924474,0.9692985249466188
300,30,7,3,0.17712010368915157,0.9850718061955103,0.3607377430611603,0.9692699473375553
