n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
60,15,4,3,0.4389574855454042,0.9714135650166298,0.8901614202980094,0.940828505348416
80,15,4,3,0.43790779057396556,0.9714819247964297,0.8881166171399936,0.9409644290768198
60,15,5,3,0.48081063933368595,0.9686879423788676,0.9154211342676211,0.9391494222113902
80,15,5,3,0.4790326689706676,0.9688037299798504,0.9109112632994084,0.9394492058234294
60,15,6,3,0.5213787317504388,0.9660460073977841,0.9406900548055865,0.9374697270882708
80,15,6,3,0.5190484217290101,0.9661977652743718,0.9359930026016215,0.9377819531553948
60,15,7,3,0.5625314126552076,0.9633660019853832,0.9651805644859659,0.9358417750904389
80,15,7,3,0.5602937449329154,0.9635117266739102,0.9600046579581432,0.9361858319305181
60,20,4,3,0.2915288935974559,0.9810146266164186,0.7979488633230231,0.9469581293665268
80,20,4,3,0.29073148375339014,0.981066556713098,0.7941982547392813,0.9472074427053129
60,20,5,3,0.3480355383699269,0.9773347177867295,0.8352184941998687,0.9444807137946888
80,20,5,3,0.346423241368801,0.9774397161633703,0.8293199450906682,0.9448728066883016
60,20,6,3,0.4026131318985838,0.9737804354693492,0.8657308333444854,0.9424524741166553
80,20,6,3,0.3999475618520793,0.9739540266423835,0.8601786302359213,0.9428215444325009
60,20,7,3,0.4541584838186315,0.9704236232497636,0.8981665565113666,0.9402963817764067
80,20,7,3,0.4517690686720066,0.970579230257245,0.8919398932534572,0.9407102853261013
60,25,4,3,0.27457124885761686,0.9821189672981231,0.7910368420359629,0.9474175905623198
80,25,4,3,0.2734147467602585,0.9821942827286668,0.7872098128839002,0.9476719837879068
60,25,5,3,0.33404875208517903,0.9782455858546438,0.8287321215458066,0.9449118809471357
80,25,5,3,0.3322416500281343,0.9783632706126514,0.8228167357165729,0.9453050930241536
60,25,6,3,0.3909062588359147,0.9745428276751655,0.8603868008586011,0.9428077067547431
80,25,6,3,0.38824519053194456,0.9747161256791015,0.854592116816166,0.9431928954497438
60,25,7,3,0.44477499544081434,0.9710347085809464,0.8923166770541826,0.9406852394634735
80,25,7,3,0.4422696061945392,0.9711978682243175,0.8859465765407449,0.9411086776847511
60,30,4,3,0.27388011208006946,0.9821639765238603,0.792469392127989,0.94732236499067
80,30,4,3,0.27265937987975153,0.9822434748416373,0.7877465908860266,0.9476363026676542
60,30,5,3,0.33351693216441725,0.9782802198137135,0.8286324398074681,0.9449185070683228
80,30,5,3,0.33168388895483264,0.9783995939496105,0.8225834091134056,0.9453206028895966
60,30,6,3,0.3906792931882655,0.9745576084658882,0.8601505222255309,0.9428234128497885
80,30,6,3,0.3879402859489324,0.9747359821238039,0.8544476415080066,0.9432024991235597
60,30,7,3,0.4444679314611757,0.9710547056530519,0.891436692380392,0.9407437344816032
80,30,7,3,0.4419622735967567,0.9712178827897688,0.8851472241097884,0.9411618128544119
