n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
100,23,1,2,0.04071705879105621,0.9965682487073944,0.2842240586536251,0.9757878945068444
110,23,1,2,0.0404992486771818,0.9965866063727569,0.28418544352717984,0.975791184001476
120,23,1,2,0.040408504388657375,0.9965942545634339,0.28437960814173496,0.9757746437615227
130,23,1,2,0.04030224756297703,0.9966032101955375,0.2826831232634511,0.9759191616852873
140,23,1,2,0.04021278729396829,0.996610750165342,0.2838562416320562,0.9758192276197786
100,23,1,3,0.0443624895520247,0.9962610012760351,0.28453830113044154,0.9757611252318044
110,23,1,3,0.044145525500067236,0.996279287632856,0.2849005056098144,0.975730270232737
120,23,1,3,0.04398862878471309,0.9962925113410931,0.28568095077936745,0.9756637866955362
130,23,1,3,0.04390839849005305,0.9962992733820062,0.28382133961390504,0.9758222008070218
140,23,1,3,0.043799654767057966,0.9963084386169969,0.28486192892351636,0.9757335564527799
100,23,2,2,0.06347195138275542,0.9946504006509965,0.296956615330378,0.974703250205741
110,23,2,2,0.0632079939696868,0.9946726477439936,0.2958688206745426,0.9747959158269651
120,23,2,2,0.06315277109485873,0.9946773020873498,0.29590257816384335,0.9747930401383412
130,23,2,2,0.06289195033095445,0.9946992848144977,0.29478871645122623,0.974887926325733
140,23,2,2,0.06284399871194785,0.9947033263154164,0.29477150646922906,0.9748893923870566
100,23,2,3,0.06347195138275542,0.9946504006509965,0.296956615330378,0.974703250205741
110,23,2,3,0.0632079939696868,0.9946726477439936,0.2958688206745427,0.9747959158269651
120,23,2,3,0.06315277109485873,0.9946773020873498,0.29590257816384335,0.9747930401383412
130,23,2,3,0.06289195033095446,0.9946992848144977,0.29478871645122623,0.974887926325733
140,23,2,3,0.06284399871194785,0.9947033263154164,0.29477150646922906,0.9748893923870566
100,23,3,2,0.08776094177850341,0.9926032544016952,0.30935738049643235,0.9736468701237078
110,23,3,2,0.0872701368553897,0.992644620857901,0.3090896509108614,0.9736696771197101
120,23,3,2,0.08714394182953379,0.9926552569390905,0.30987407308824316,0.9736028547943942
130,23,3,2,0.08688490975571048,0.9926770889102732,0.3087898042354475,0.9736952200641438
140,23,3,2,0.08680412532833948,0.9926838976550914,0.30947513801376275,0.9736368387511148
100,23,3,3,0.08776094177850342,0.9926032544016952,0.30935738049643235,0.9736468701237078
110,23,3,3,0.08727013685538969,0.992644620857901,0.3090896509108614,0.9736696771197101
120,23,3,3,0.08714394182953379,0.9926552569390905,0.30987407308824316,0.9736028547943942
130,23,3,3,0.08688490975571048,0.9926770889102732,0.3087898042354475,0.9736952200641438
140,23,3,3,0.08680412532833948,0.9926838976550914,0.30947513801376275,0.9736368387511148
100,23,4,2,0.11191242654371451,0.9905676975240072,0.3197033742097,0.9727655292111763
110,23,4,2,0.11161106292203102,0.9905930973202833,0.32084361596195615,0.9726683957956446
120,23,4,2,0.11146369144412474,0.9906055182140024,0.3217940904522914,0.9725874280241703
130,23,4,2,0.11149877319593121,0.9906025614226555,0.3203767389473654,0.9727081675010489
140,23,4,2,0.11119006752204372,0.9906285800282928,0.32092351883983883,0.9726615891343167
100,23,4,3,0.11191242654371449,0.9905676975240072,0.3197033742097,0.9727655292111763
110,23,4,3,0.111611062922031,0.9905930973202833,0.32084361596195615,0.9726683957956446
120,23,4,3,0.11146369144412475,0.9906055182140024,0.3217940904522914,0.9725874280241703
130,23,4,3,0.11149877319593121,0.9906025614226555,0.3203767389473654,0.9727081675010489
140,23,4,3,0.11119006752204372,0.9906285800282928,0.32092351883983883,0.9726615891343167
100,24,1,2,0.04075422775022951,0.9965651160001833,0.2865421624309516,0.9755904229294327
110,24,1,2,0.04042056518564685,0.996593238044636,0.2873492942242774,0.9755216660472058
120,24,1,2,0.04032360057422291,0.9966014105020892,0.2865291925529636,0.9755915277903496
130,24,1,2,0.04012241467786419,0.9966183670303941,0.28416747091091493,0.9757927150290853
140,24,1,2,0.03995381601200471,0.996632577012811,0.28471034968457437,0.9757464689857345
100,24,1,3,0.043802788820316144,0.9963081744699381,0.28673569500298995,0.9755739365310864
110,24,1,3,0.04379564811052098,0.9963087763095797,0.28646911081519777,0.9755966459544484
120,24,1,3,0.04373791134242825,0.9963136425311196,0.2868774045202725,0.9755618647670067
130,24,1,3,0.04345345257254658,0.9963376175376703,0.2853847553858248,0.9756890185993695
140,24,1,3,0.0433061579341323,0.996350031955135,0.28589926581529235,0.9756451891612332
100,24,2,2,0.06295971864696825,0.9946935731051311,0.29580358756062614,0.9748014728197238
110,24,2,2,0.06273909470854087,0.9947121679277523,0.29565333385965226,0.9748142724344924
120,24,2,2,0.06266376621866136,0.9947185168304037,0.29607090863268426,0.9747787006236337
130,24,2,2,0.06246580821114139,0.9947352013029161,0.29519191758124524,0.9748535789578809
140,24,2,2,0.06239808222696212,0.9947409094444335,0.29571258764816394,0.9748092248006464
100,24,2,3,0.06295971864696825,0.9946935731051311,0.29580358756062614,0.9748014728197238
110,24,2,3,0.06273909470854086,0.9947121679277523,0.2956533338596522,0.9748142724344925
120,24,2,3,0.06266376621866138,0.9947185168304037,0.2960709086326842,0.9747787006236337
130,24,2,3,0.06246580821114139,0.9947352013029161,0.2951919175812452,0.9748535789578809
140,24,2,3,0.062398082226962116,0.9947409094444335,0.29571258764816394,0.9748092248006464
100,24,3,2,0.08762469924750776,0.9926147373156318,0.3086923159170638,0.9737035247708608
110,24,3,2,0.08714233234594945,0.9926553925910147,0.3086845453578718,0.9737041867190428
120,24,3,2,0.08704876834221724,0.9926632784354318,0.3088888046712972,0.9736867865451516
130,24,3,2,0.08687348861239154,0.9926780515172127,0.30769889703710585,0.9737881508325474
