n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
120,28,1,2,0.09893041453927265,0.9935573080395453,0.6983117406775716,0.9535812848249389
130,28,1,2,0.09823263768408107,0.993602749690185,0.6973560495985204,0.9536448122574732
140,28,1,2,0.09795133957696943,0.9936210687992438,0.6967295193082321,0.953686459460863
120,28,1,3,0.10643616743071765,0.9930685073604409,0.6992187574881714,0.9535209929058177
130,28,1,3,0.10573768126359347,0.9931139952039355,0.6982643845097516,0.953584432720553
140,28,1,3,0.10545674994171225,0.9931322904266672,0.6980920211664106,0.9535958901892952
120,30,1,2,0.09815635432420709,0.9936077175273427,0.6943227107727841,0.9538464466891736
130,30,1,2,0.09743382906320416,0.9936547708800652,0.6940498602039414,0.9538645838220653
140,30,1,2,0.09720216913450454,0.9936698573786625,0.6939928895942131,0.9538683708162575
120,30,1,3,0.10587895559777796,0.9931047949289614,0.6989626867006677,0.9535380146401771
130,30,1,3,0.10511710705205983,0.9931544091504669,0.6977842165615232,0.953616350813758
140,30,1,3,0.10478795194927232,0.9931758448731852,0.6974846809925589,0.953636261772504
120,32,1,2,0.09800743301884683,0.9936174157996208,0.6967185065411668,0.9536871915099864
130,32,1,2,0.09729914540336515,0.9936635419474511,0.6958616153359299,0.9537441514413106
140,32,1,2,0.09701642414987645,0.9936819537367414,0.6956216755406224,0.9537601009039486
120,32,1,3,0.10560789955374537,0.9931224470393246,0.7013824006155682,0.9533771695555564
130,32,1,3,0.10489098426221853,0.9931691350513637,0.6997413085085612,0.9534862574924386
140,32,1,3,0.10465009603693604,0.993184822528664,0.6994103090760603,0.9535082599413242
