n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
120,20,1,2,0.13413944804738925,0.9912643735747041,0.7164725776586117,0.9523740836996282
140,20,1,2,0.13334684872401262,0.9913159903935799,0.7143535027810584,0.9525149444749036
160,20,1,2,0.13266725965547632,0.9913602475924268,0.7127887875361434,0.952618955430259
180,20,1,2,0.13204967504144227,0.9914004668459928,0.7126562326758613,0.9526277667188943
200,20,1,2,0.13161644886763188,0.9914286800380638,0.7116415603120877,0.9526952148007557
220,20,1,2,0.13140734346673338,0.9914422977075291,0.7098164431502233,0.9528165353926384
240,20,1,2,0.1309640767319849,0.991471164775777,0.7096480570505479,0.9528277284829805
260,20,1,2,0.13086634177154563,0.9914775296156173,0.7093763168327156,0.9528457918077656
280,20,1,2,0.13081606218022304,0.9914808039971136,0.7092179830812574,0.9528563166906846
300,20,1,2,0.13076907103360694,0.9914838642236772,0.7080036122757297,0.9529370392809764
320,20,1,2,0.13088585547646348,0.9914762588154253,0.7080461813509923,0.952934209596661
340,20,1,2,0.1306597275126418,0.9914909850532697,0.7077438228853913,0.9529543082011638
360,20,1,2,0.1306071921394987,0.9914944063391075,0.7074700333213834,0.9529725077516643
120,20,1,10,0.23898043708507996,0.9844367644886115,0.7715111692305849,0.948715516104392
140,20,1,10,0.23815764598888112,0.9844903475005224,0.7703682523100844,0.9487914889570752
160,20,1,10,0.237743562739299,0.984517314038927,0.7698193272061392,0.9488279775288236
180,20,1,10,0.2370499109838695,0.9845624870487528,0.7696465529168738,0.9488394623142795
200,20,1,10,0.23623123650030242,0.9846158019725613,0.768413802272187,0.9489214066633779
220,20,1,10,0.2359206784058899,0.9846360265935481,0.7658715029430392,0.9490904003399484
240,20,1,10,0.2353981579543218,0.9846700549389076,0.7648742367876017,0.9491566913829402
260,20,1,10,0.23537433129164761,0.984671606613878,0.7647768772535042,0.9491631631407808
280,20,1,10,0.23509336299514205,0.9846899042445254,0.7647104044019364,0.9491675817753018
300,20,1,10,0.23500301265431162,0.9846957881723064,0.7630270614389848,0.9492794782435803
320,20,1,10,0.23527154941980255,0.9846783001261057,0.7629562202162898,0.949284187255827
340,20,1,10,0.23487271877250768,0.9847042733621109,0.7626483741481693,0.9493046506364655
360,20,1,10,0.23494858348178937,0.9846993327889327,0.7625055124061266,0.9493141470520734
120,20,1,50,0.7566067387428855,0.9507271431578854,1.1264634357076235,0.9251208560141105
140,20,1,50,0.7558536913566293,0.9507761842173399,1.1266334960773554,0.9251095516304014
160,20,1,50,0.7560742377499067,0.9507618214707417,1.1265082842985203,0.9251178748040785
180,20,1,50,0.7566394455823112,0.9507250131749838,1.1281744712964377,0.9250071187403043
200,20,1,50,0.7560127637408743,0.9507658248715727,1.1282108242153848,0.925004702261113
