n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
40,20,1,2,0.2668290783492328,0.9826231643129959,1.3080700166883736,0.9130489636694643
60,20,1,2,0.25806210925600204,0.983194099768564,1.2975637168517695,0.9137473465137596
80,20,1,2,0.25428112325876434,0.9834403306996728,1.2916261416487012,0.9141420335799032
100,20,1,2,0.25260690131267177,0.9835493618436577,1.287980163839933,0.9143843918213321
120,20,1,2,0.251854682904739,0.9835983489171665,1.2871704250737261,0.9144382173994591
140,20,1,2,0.25097588772092566,0.9836555791096407,1.285385331593772,0.9145568775063713
160,20,1,2,0.2503238579227894,0.9836980415531471,1.2815770994850804,0.9148100212404324
40,25,1,2,0.19824664126528346,0.9870894906504212,1.297933512280748,0.9137227651875539
60,25,1,2,0.18945914848390427,0.9876617626797947,1.289718374716875,0.91426884813087
80,25,1,2,0.18587789343751657,0.9878949864381621,1.2835446326708129,0.9146792338610632
100,25,1,2,0.1839700187663849,0.9880192338585585,1.2788758172763526,0.9149895829492657
120,25,1,2,0.18275159439440916,0.988098581882544,1.2772830632534415,0.9150954577198398
140,25,1,2,0.18180988791424693,0.9881599090769877,1.2766085736438801,0.9151402929119911
160,25,1,2,0.1811499417377,0.9882028870625321,1.2723917152497422,0.9154205991668181
40,30,1,2,0.18714382882197583,0.9878125443321435,1.3004691433815108,0.9135542147665899
60,30,1,2,0.1787043519154965,0.988362152359857,1.2912756921054098,0.9141653289315144
80,30,1,2,0.1752336009014745,0.9885881797121018,1.2826780590681526,0.9147368374081568
100,30,1,2,0.1732144986740733,0.9887196706570088,1.2796473332490068,0.9149382981460732
120,30,1,2,0.1717196930850784,0.9888170175851048,1.278239411409367,0.9150318866095861
140,30,1,2,0.17080749402367695,0.988876423154025,1.2770968674295178,0.9151078346718715
160,30,1,2,0.17000556775036807,0.9889286473762522,1.273321341239134,0.9153588043529731
40,35,1,2,0.18544150880459515,0.9879234053200527,1.3054608156913001,0.9132224044851667
60,35,1,2,0.17695781274050681,0.9884758930527848,1.2943207045129768,0.913962918524503
80,35,1,2,0.17384940241952945,0.9886783235214938,1.2862021238942132,0.9145025830602911
100,35,1,2,0.17188435038407157,0.9888062945303051,1.2833448143488224,0.9146925163382649
120,35,1,2,0.17032911225451747,0.9889075770351904,1.2814615160395832,0.9148177043921295
140,35,1,2,0.16948078936814484,0.9889628227658926,1.2795735975228757,0.914943199563979
160,35,1,2,0.16871095944585912,0.9890129567623418,1.2744299647663468,0.9152851110771074
40,40,1,2,0.18514658525852373,0.9879426117649875,1.2977492345879704,0.9137350146360966
60,40,1,2,0.1765571464037814,0.9885019858352568,1.2869885142684898,0.9144503095144324
80,40,1,2,0.1733427338583513,0.9887113195367325,1.278944248555814,0.9149850341326193
100,40,1,2,0.17142623295611434,0.9888361287272383,1.2762825513656644,0.9151619645156484
120,40,1,2,0.16991407599437483,0.9889346056369502,1.2755860629593476,0.9152082620287393
140,40,1,2,0.16912095847193076,0.9889862562027478,1.2750555458382191,0.9152435269708943
160,40,1,2,0.16840189268540662,0.989033084262485,1.2712232267308294,0.9154982718344609
