n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
40,15,1,2,0.2455792119528585,0.9793018748632842,0.6988490480476177,0.9404673659391344
60,15,1,2,0.2429331895415902,0.9795248892729628,0.6989445835755956,0.9404592275841595
80,15,1,2,0.24161573557652985,0.979635928097519,0.6999057720219868,0.9403773471262803
100,15,1,2,0.24194361613719928,0.9796082933770528,0.698815683889425,0.940470208121185
120,15,1,2,0.24211555037578908,0.9795938022629339,0.6986997083010694,0.9404800876971547
140,15,1,2,0.2413623171375042,0.9796572869353506,0.6989355543960324,0.9404599967500391
160,15,1,2,0.2409372885741558,0.9796931095700145,0.6953481971791611,0.9407655918210123
40,20,1,2,0.14019420147507636,0.988184027864174,0.7037717564155195,0.94004801672964
60,20,1,2,0.13794232012788907,0.98837382292682,0.7031912946759,0.9400974643412918
80,20,1,2,0.1356157589090172,0.9885699122247027,0.7030964015843518,0.9401055479692367
100,20,1,2,0.1355628233870466,0.988574373783355,0.7025816722144093,0.9401493960581864
120,20,1,2,0.13534143827835915,0.9885930327596039,0.7022817371288632,0.9401749465339861
140,20,1,2,0.13457258233206762,0.9886578341589646,0.7022074286393757,0.9401812766279093
160,20,1,2,0.13412116035412716,0.9886958813068261,0.699859558292119,0.9403812839207518
40,25,1,2,0.10781868371851483,0.9909127299907201,0.7096097574362897,0.9395506967727946
60,25,1,2,0.10472359192413457,0.9911735932647745,0.7079105480199699,0.939695446790924
80,25,1,2,0.1025105091487627,0.99136011827175,0.7085765807028108,0.9396387096742449
100,25,1,2,0.10229416766685186,0.9913783521565697,0.7094270447547055,0.9395662614605357
120,25,1,2,0.10218887235901561,0.9913872267491729,0.7091718623974321,0.9395879995997474
140,25,1,2,0.10138596670240001,0.9914548979564443,0.7084924716610125,0.9396458746447354
160,25,1,2,0.10091744145951971,0.9914943866168636,0.7042732066957516,0.9400052998423292
40,30,1,2,0.10008258592036473,0.9915647506524963,0.7118079927684832,0.9393634363909186
60,30,1,2,0.09740537533982527,0.9917903936911424,0.7102258210762653,0.9394982163532544
80,30,1,2,0.09536415752946133,0.9919624334225766,0.7110053577893625,0.939431810204448
100,30,1,2,0.09483494700193303,0.9920070368140256,0.7109169357229788,0.9394393425872074
120,30,1,2,0.09470431752580974,0.9920180466434889,0.710923629716303,0.9394387723481034
140,30,1,2,0.09397937944981455,0.9920791465179204,0.7108441806472031,0.9394455403509653
160,30,1,2,0.09348503117554369,0.9921208116179939,0.7079040664953835,0.9396959989305204
40,35,1,2,0.0986689708615088,0.9916838942117198,0.7186483399306535,0.9387807298885739
60,35,1,2,0.09573974414520538,0.9919307778980291,0.7160352909336528,0.9390033268716507
80,35,1,2,0.09380025236779438,0.9920942438656541,0.7127239934041548,0.9392854053328591
100,35,1,2,0.09326836500331712,0.992139072868651,0.7125898994419827,0.9392968283530407
120,35,1,2,0.09312728018494472,0.9921509639045507,0.7125773090213006,0.9392979008892476
140,35,1,2,0.09245541722210858,0.9922075904551815,0.7120956126326442,0.9393389350080096
160,35,1,2,0.0921020454585895,0.9922373736478342,0.7094021584355075,0.9395683814435822
