n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
10,5,1,2,3.7996322529605755,0.7525547600013782,3.89957047308863,0.7407847519221964
30,5,1,2,3.7729084583857473,0.7542951062564901,3.8764708320676804,0.7423202490286279
50,5,1,2,3.7759836287986768,0.7540948404859615,3.8784211668815525,0.7421906048726621
70,5,1,2,3.7614334952845203,0.755042395680709,3.8593887570242895,0.7434557418606241
90,5,1,2,3.775978020610258,0.7540952057106562,3.873137447471067,0.7425418283336085
110,5,1,2,3.7749592822814177,0.7541615494864464,3.872009955628805,0.742616775838626
130,5,1,2,3.7745637715269824,0.7541873065195059,3.87117377194642,0.7426723592835627
150,5,1,2,3.774429266057293,0.7541960659825309,3.8716861721794933,0.7426382986211262
170,5,1,2,3.785388272096906,0.7534823774729376,3.882204355873669,0.7419391258239094
190,5,1,2,3.788677233059459,0.7532681889197976,3.886442789277454,0.7416573854184454
210,5,1,2,3.8000957554488384,0.7525245751106275,3.898706150512641,0.7408422058373135
230,5,1,2,3.802790366425382,0.7523490926914345,3.9015656555644465,0.7406521266179484
250,5,1,2,3.7958605098297746,0.7528003890049448,3.8940471363930156,0.7411519034076359
270,5,1,2,3.8029497515339346,0.7523387129799749,3.900810524943504,0.7407023222414382
290,5,1,2,3.796771244815549,0.7527410787817108,3.894314383022247,0.7411341387841288
10,10,1,2,1.1829978670315167,0.9229590729741317,1.4747841896086944,0.901967010928808
30,10,1,2,1.1446553734515772,0.925456069234399,1.4244541059584925,0.9053125909636344
50,10,1,2,1.1379317035099028,0.9258939379573768,1.413286290320847,0.9060549465951013
70,10,1,2,1.1295471716494914,0.9264399677729883,1.4082767458159606,0.9063879448908245
90,10,1,2,1.1290791541601697,0.9264704466962785,1.408114953396138,0.9063986996810074
110,10,1,2,1.1303042754842938,0.9263906625435255,1.4069869732384563,0.906473679645703
130,10,1,2,1.128934744609758,0.926479851147415,1.4047736366632724,0.9066208062570504
150,10,1,2,1.1283130174190408,0.9265203401799526,1.4022898679960312,0.9067859092384403
170,10,1,2,1.1287928342747866,0.9264890928409678,1.4045620701169472,0.906634869671257
190,10,1,2,1.1285519330326468,0.926504781165971,1.4046710376510907,0.9066276262975085
210,10,1,2,1.1281436520594033,0.926531369840002,1.4040798956155993,0.9066669211456043
230,10,1,2,1.127546417892221,0.9265702638018369,1.403349714009287,0.9067154583390025
250,10,1,2,1.126704888023713,0.9266250671476388,1.4030009608407101,0.9067386409278887
270,10,1,2,1.12730289241828,0.9265861230259232,1.4036570603755745,0.9066950281749285
290,10,1,2,1.1267577478119593,0.9266216247347636,1.4033630531198036,0.9067145716513876
10,15,1,2,0.3896703988609959,0.9746233111661298,0.9218498893354752,0.9387220850594536
30,15,1,2,0.34721254295492093,0.9773883141045904,0.849888177603659,0.9435055793153971
50,15,1,2,0.3381731890462322,0.9779769882047287,0.8344501927517671,0.9445317849195325
70,15,1,2,0.3342701737221383,0.9782311661091393,0.8337056345206032,0.9445812777669965
90,15,1,2,0.33337813166188357,0.9782892589841844,0.8332983588980041,0.9446083505054625
110,15,1,2,0.33342157167910363,0.9782864300194923,0.8316450954304514,0.9447182475063854
130,15,1,2,0.33219221540780186,0.9783664899667041,0.8285216077552412,0.9449258743817516
150,15,1,2,0.33168121150238367,0.9783997683146068,0.827881163149967,0.9449684465081901
170,15,1,2,0.3315197899062681,0.9784102806492047,0.82844985752028,0.944930643818561
190,15,1,2,0.3308187752946414,0.9784559331537809,0.8287667834554477,0.9449095768740158
210,15,1,2,0.33057394086024483,0.9784718776219151,0.8279075332101226,0.9449666936172674
230,15,1,2,0.3298113059163,0.9785215430564026,0.8277466618473928,0.9449773871822347
250,15,1,2,0.32952676650912555,0.9785400732501713,0.827332373947671,0.9450049260461796
270,15,1,2,0.3295833829819863,0.9785363861889553,0.8273019496566711,0.9450069484330536
290,15,1,2,0.3295124250182562,0.9785410072178329,0.8266307514962571,0.9450515648334653
10,20,1,2,0.1945971445832073,0.9873271585409563,0.8355039386946933,0.9444617395086619
30,20,1,2,0.1511179388607543,0.9901586753243395,0.7468713954377771,0.9503533901011209
50,20,1,2,0.14119381049719382,0.9908049690078361,0.7253645295563631,0.9517830110332979
70,20,1,2,0.13717772224390268,0.9910665106138473,0.7217884334501383,0.9520207240444416
90,20,1,2,0.13538445276618633,0.9911832945462792,0.7213807937917717,0.9520478209813732
110,20,1,2,0.1345132939030051,0.9912400274350499,0.7191107374816889,0.9521987179105683
130,20,1,2,0.13365764675091693,0.9912957501473565,0.7157073706451642,0.9524249491288314
150,20,1,2,0.1327837999357458,0.99135265808489,0.7132751679738313,0.9525866243756761
170,20,1,2,0.1324087989643724,0.9913770794496916,0.7121013371084866,0.9526646521638803
190,20,1,2,0.1316731502849844,0.9914249874449677,0.7117643760147622,0.9526870509008964
210,20,1,2,0.13156933205432866,0.9914317484484783,0.7102226443564517,0.9527895340736038
