n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
50,10,1,2,1.2018939866020824,0.9217284920834315,1.4815159676164749,0.9015195310029204
70,10,1,2,1.1931765743683211,0.9222962002243099,1.4728483850698801,0.9020956892171533
90,10,1,2,1.19307934610839,0.9223025320660545,1.4732164798230383,0.9020712209395791
110,10,1,2,1.1941531679688195,0.9222326010595044,1.472924484559983,0.9020906306733107
130,10,1,2,1.1934732587927435,0.9222768791048653,1.4716551976590104,0.902175003688541
150,10,1,2,1.1927607077636628,0.9223232829009866,1.469029103278825,0.9023495674542001
170,10,1,2,1.1929034980100717,0.922313983904547,1.4700218979620385,0.9022835736423495
190,10,1,2,1.1922086633280065,0.9223592339506611,1.4693451444436454,0.90232855932279
50,20,1,2,0.14565615713357874,0.9905143655070534,0.7525400928155421,0.9499765760886044
70,20,1,2,0.14214505718016862,0.9907430205222733,0.7440431842550471,0.9505413891303491
90,20,1,2,0.14062069399552335,0.9908422923435859,0.741706693929142,0.9506967021125456
110,20,1,2,0.13962462636490966,0.9909071597248226,0.7374892064310087,0.9509770501856574
130,20,1,2,0.13857288236917378,0.9909756529441964,0.734489898244623,0.9511764225065221
150,20,1,2,0.1383824222320626,0.9909880563693703,0.7331799426936335,0.9512634988795391
170,20,1,2,0.1379344619376828,0.9910172290985118,0.7321793074316489,0.951330013876373
190,20,1,2,0.13703180661234096,0.9910760131462156,0.7317791141389046,0.9513566158327611
50,30,1,2,0.10421810411549133,0.9932129553419372,0.7295576570207958,0.9515042822390842
70,30,1,2,0.10078218550213237,0.9934367142873551,0.7245594914498076,0.9518365241455606
90,30,1,2,0.09925574461595205,0.9935361214158029,0.7221777329088351,0.9519948462313699
110,30,1,2,0.09766547204939163,0.9936396854848228,0.7181096211329822,0.9522652648865687
130,30,1,2,0.09643319619557988,0.9937199355653809,0.7160421065948499,0.9524026983033014
150,30,1,2,0.0959708492753175,0.9937500452015325,0.7137703947577945,0.9525537052799589
170,30,1,2,0.09571093314366912,0.9937669718421371,0.7133415965178688,0.9525822086863993
190,30,1,2,0.09505893719179866,0.9938094320814571,0.7127626761348924,0.9526206911274081
50,40,1,2,0.10385855492878163,0.9932363704328917,0.7327842112245937,0.95128980424615
70,40,1,2,0.10051438960624944,0.9934541540855556,0.7260388646399002,0.9517381861129193
90,40,1,2,0.09905133628711006,0.9935494331956334,0.7216961248954846,0.9520268600496913
110,40,1,2,0.09749488600141618,0.9936507946403336,0.7181984720289145,0.9522593587214693
130,40,1,2,0.09628798615790136,0.9937293921470265,0.7156778490393124,0.9524269115117239
150,40,1,2,0.09579552600338705,0.9937614628615091,0.7131946880602028,0.9525919740984008
170,40,1,2,0.09549100419098618,0.9937812943788608,0.712298429825356,0.9526515508651988
190,40,1,2,0.09477140724329856,0.9938281570296565,0.7117213132940223,0.9526899133991937
50,50,1,2,0.10394756437562971,0.9932305738287808,0.7329925510525522,0.9512759553208487
70,50,1,2,0.10050726170665902,0.9934546182791162,0.7260650332231503,0.9517364466147243
90,50,1,2,0.09886224030048436,0.993561747782593,0.7223349506974944,0.9519843955295885
110,50,1,2,0.09731158471859591,0.9936627318560691,0.7183419698110214,0.952249820026517
130,50,1,2,0.09613092097756717,0.9937396207767085,0.7162518517005187,0.9523887559652993
150,50,1,2,0.09559365621282782,0.9937746093229158,0.7129434003594508,0.9526086778877383
170,50,1,2,0.0953448944928535,0.9937908095495177,0.7120629128298458,0.9526672063320865
190,50,1,2,0.09468752985215341,0.9938336194164878,0.7114274928254579,0.9527094444593899
