n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
90,22,1,2,0.05105237473808831,0.9956971584343292,0.342316818118504,0.9708391648770762
100,22,1,2,0.05063556777138485,0.9957322881290865,0.3433442987323865,0.9707516372091746
110,22,1,2,0.0506282219493017,0.9957329072561841,0.3440585897794187,0.9706907891224029
120,22,1,2,0.050395220961439634,0.9957525452522726,0.3424702236532568,0.9708260967680349
130,22,1,2,0.05021261371597653,0.9957679359182309,0.3431428259242548,0.9707688000099156
140,22,1,2,0.04994357391027571,0.9957906113699553,0.34394093491351857,0.9707008117504606
150,22,1,2,0.04995986734844871,0.9957892381119359,0.3433801594858824,0.9707485823504451
90,24,1,2,0.04893180854775668,0.9958758858763596,0.34430963937773357,0.9706694030392289
100,24,1,2,0.04851461500979044,0.9959110481524593,0.34468644879099114,0.9706373038942522
110,24,1,2,0.04854141007695297,0.9959087897868234,0.3450931003524006,0.9706026625955865
120,24,1,2,0.04834485802123618,0.995925355761658,0.3438825161386742,0.9707057882522601
130,24,1,2,0.048280831894225905,0.9959307520685291,0.3439830634821559,0.9706972229573341
140,24,1,2,0.047980689047620116,0.9959560489743565,0.3446251623400748,0.9706425246838711
150,24,1,2,0.047983408051594664,0.99595581980885,0.34388494356384647,0.9707055814679554
90,26,1,2,0.048001365094776205,0.9959543063373965,0.34180181339538573,0.9708830364224503
100,26,1,2,0.04766571072169674,0.9959825962572209,0.34140834674388104,0.9709165545423427
110,26,1,2,0.04762690204720764,0.9959858671643737,0.3416694815839204,0.9708943093308539
120,26,1,2,0.04744660488621027,0.9960010631297425,0.34076703239201855,0.9709711859863349
130,26,1,2,0.04730014327138016,0.996013407337574,0.3409363725551456,0.9709567604591178
140,26,1,2,0.0470153617692882,0.9960374095449273,0.34192034873922716,0.9708729387893951
150,26,1,2,0.04706297444276385,0.9960333966113167,0.3412094337726982,0.9709334992790587
90,28,1,2,0.04777909313019521,0.9959730400604209,0.34258288096762174,0.970816499864828
100,28,1,2,0.047442548032972265,0.9960014050530482,0.34296768761019375,0.9707837194623927
110,28,1,2,0.04749670764954991,0.9959968403241676,0.3427846780695139,0.9707993094385763
120,28,1,2,0.04727150623011699,0.9960158209501062,0.34113906999747584,0.9709394933358485
130,28,1,2,0.04709697721582925,0.9960305307594137,0.3414525963426193,0.970912785065692
140,28,1,2,0.046873044470568136,0.9960494044578296,0.34204691066712334,0.9708621573982483
150,28,1,2,0.04687536749782413,0.9960492086663844,0.34178232065891634,0.9708846969440612
90,30,1,2,0.04765966278051435,0.9959831059951681,0.3407450610000806,0.9709730576563897
100,30,1,2,0.047287641185710244,0.9960144610494563,0.3410869516676737,0.9709439331236176
110,30,1,2,0.047294103366236705,0.9960139163982208,0.34115207603943465,0.9709383853942426
120,30,1,2,0.047136266253877776,0.9960272193658329,0.3402528418456185,0.9710149881746929
130,30,1,2,0.047013385978305254,0.9960375760702967,0.3405555977814047,0.9709891974000109
140,30,1,2,0.04672122658331337,0.9960622001077685,0.3416842012895,0.9708930554079241
150,30,1,2,0.046753607112070224,0.9960594709833004,0.34106206708091913,0.970946052959083
90,32,1,2,0.0480654238472371,0.995948907280758,0.34074469381300254,0.9709730889358399
100,32,1,2,0.04776464425506035,0.9959742578533409,0.34029118309517026,0.971011722010726
110,32,1,2,0.047650773663628826,0.9959838551956082,0.34060287997598415,0.970985169586572
120,32,1,2,0.047431808580350565,0.9960023102051272,0.3394691279422851,0.9710817501644902
130,32,1,2,0.04728283677205454,0.9960148659793128,0.33933562281901686,0.9710931230234373
140,32,1,2,0.0469442414003077,0.9960434037749976,0.33990261906229324,0.9710448224927875
150,32,1,2,0.04693975187561106,0.9960437821651033,0.3392363828122588,0.971101576950681
