n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
10,15,1,2,0.4150823020892109,0.972968399828795,0.933335482069455,0.937637092231323
20,15,1,2,0.3794640877705694,0.975287981568194,0.8757111698256659,0.9414873901560572
30,15,1,2,0.37157246284443335,0.9758019115734741,0.8620031966422372,0.9424033191909613
40,15,1,2,0.36720404026562703,0.9760863984136376,0.8581821141286871,0.9426586334064251
50,15,1,2,0.36272045371458933,0.9763783851313816,0.8518664352543963,0.9430806296839701
60,15,1,2,0.3591783222916526,0.9766090610236005,0.8475437693670304,0.9433694583197901
70,15,1,2,0.3565406897078927,0.976780832812096,0.8456895418794214,0.9434933526964783
80,15,1,2,0.3570857068487606,0.9767453394042485,0.8464464387584069,0.9434427789304944
90,15,1,2,0.35694196391202415,0.9767547004431888,0.8446399237851338,0.9435634852883104
100,15,1,2,0.3568772811093775,0.9767589128117968,0.8436289242520599,0.9436310374941854
110,15,1,2,0.35700069594485023,0.9767508756093651,0.8427016255737719,0.9436929970393426
120,15,1,2,0.3562027382643624,0.9768028413830537,0.8404624726547365,0.9438426110737949
130,15,1,2,0.355737552019072,0.9768331359259059,0.8402181136423065,0.9438589384703713
140,15,1,2,0.3551739798005422,0.9768698377048115,0.8382334806541637,0.9439915461836448
150,15,1,2,0.3548021313860317,0.9768940537641683,0.8380201517866721,0.9440058002313514
160,15,1,2,0.35478763218158565,0.9768949980026853,0.8387614416721014,0.9439562692817165
170,15,1,2,0.3551324835465631,0.976872540084895,0.8394982402303917,0.943907038430198
180,15,1,2,0.3555384919474977,0.9768460994086605,0.8407146344501667,0.9438257623167365
190,15,1,2,0.35461606409273844,0.9769061711121061,0.8400898424289671,0.9438675091997613
200,15,1,2,0.35503509719779847,0.9768788822219331,0.8409363498002004,0.9438109479073514
210,15,1,2,0.3552728748518555,0.976863397315827,0.8407282023861847,0.9438248557445996
220,15,1,2,0.35431818847870467,0.9769255698059526,0.8397133215573184,0.9438926672879757
230,15,1,2,0.35444359595528113,0.9769174028358162,0.8407972644410285,0.9438202412081984
240,15,1,2,0.3537792340671592,0.9769606683878244,0.8399056544215554,0.9438798161354118
250,15,1,2,0.35362811319308723,0.9769705099036512,0.8400944469739346,0.9438672015367412
260,15,1,2,0.35399933061775396,0.976946334936543,0.8407128747395715,0.9438258798957547
270,15,1,2,0.35428614676065356,0.9769276564738418,0.8407680163642411,0.9438221954841797
280,15,1,2,0.35381403870464145,0.9769584017890323,0.8405275734523745,0.9438382612176962
290,15,1,2,0.35352730333290744,0.9769770749916349,0.8400745140031579,0.94386853340298
300,15,1,2,0.3529990894742162,0.9770114741114266,0.8388460495391562,0.9439506160169355
10,17,1,2,0.2888035858520854,0.9811921081157394,0.8793340541973852,0.9412453189948611
20,17,1,2,0.2560702838222134,0.9833238143539992,0.810650091844681,0.9458345922965593
30,17,1,2,0.24740867268403535,0.98388788853386,0.7956684906515287,0.9468356216492247
40,17,1,2,0.2423465392391286,0.9842175522333414,0.789969267491779,0.947216428052809
50,17,1,2,0.23796123007002654,0.9845031387868746,0.7830150278148842,0.9476810912054515
60,17,1,2,0.2347582526645682,0.9847117277923465,0.7773743699923307,0.9480579844344142
70,17,1,2,0.2330524408684973,0.9848228161770033,0.7755605875076126,0.94817917638734
80,17,1,2,0.23325450228262348,0.9848096572364048,0.7763012893879043,0.9481296847265898
90,17,1,2,0.2327400071950279,0.984843162942208,0.7751071180792803,0.9482094759662998
100,17,1,2,0.23220449097235202,0.9848780376172874,0.7741904072550624,0.9482707280601927
110,17,1,2,0.2321516847000132,0.984881476545021,0.7722810256582452,0.9483983076826383
120,17,1,2,0.2315019786776728,0.9849237876561822,0.769872562026988,0.9485592345928285
130,17,1,2,0.23111866810610807,0.9849487501709889,0.769512508472385,0.9485832923802467
