n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
100,22,1,2,0.04022293128592676,0.9966098952004071,0.26724042082885074,0.9772254312311593
110,22,1,2,0.04002777438050431,0.9966263435879461,0.2669064867440609,0.9772538895188492
120,22,1,2,0.04003150867882464,0.9966260288505002,0.26743097614557526,0.9772091918645562
130,22,1,2,0.03980713935637869,0.996644939344902,0.2669238159820095,0.977252412699137
140,22,1,2,0.03954203409839393,0.9966672831815832,0.2667397990579803,0.9772680948555935
150,22,1,2,0.03949506009987892,0.9966712422858237,0.2660920343697081,0.9773232981867114
160,22,1,2,0.039262577510158,0.9966908365898199,0.2667681383511282,0.9772656797449653
170,22,1,2,0.03940838226166935,0.9966785477443256,0.26742574298763055,0.9772096378409363
180,22,1,2,0.03913210004773122,0.9967018336071299,0.2672646189664045,0.977223369035081
190,22,1,2,0.039216297168714026,0.9966947372306395,0.2678309238326638,0.9771751078136657
200,22,1,2,0.03890833627134487,0.9967206930643613,0.26754744073634185,0.9771992666039114
100,24,1,2,0.039481747705242584,0.9966723642928856,0.26502804048625545,0.9774139730995601
110,24,1,2,0.039286804019322344,0.9966887947096692,0.26536631238973274,0.9773851451374411
120,24,1,2,0.039290842940923394,0.9966884542976936,0.26541201690774274,0.97738125014025
130,24,1,2,0.03907184147489404,0.9967069123736559,0.26540289499462044,0.9773820275212954
140,24,1,2,0.03880527447049798,0.9967293794105457,0.2649398864382417,0.9774214856997219
150,24,1,2,0.038770262474289996,0.9967323303226895,0.2645158985224871,0.9774576184894943
160,24,1,2,0.03856357645999826,0.9967497504168163,0.26517434981911564,0.9774015044320119
170,24,1,2,0.038656839201482766,0.9967418899636514,0.26611128957737146,0.9773216572334089
180,24,1,2,0.03837447720751767,0.9967656882478729,0.26604767672665375,0.9773270784015046
190,24,1,2,0.03848019313991574,0.9967567782038169,0.2660911303809504,0.9773233752257837
200,24,1,2,0.038181071048839846,0.9967819890774207,0.2656836830147087,0.9773580984088762
100,26,1,2,0.03906172745207947,0.9967077648127048,0.2637509380485456,0.977522809394617
110,26,1,2,0.03877173281196498,0.9967322063983843,0.26381484612670475,0.9775173630668632
120,26,1,2,0.03868784772050134,0.9967392764761259,0.26427300016134003,0.9774783185969579
130,26,1,2,0.038486082477491086,0.9967562818334396,0.2637801508719471,0.9775203198406288
140,26,1,2,0.03829403392270542,0.996772468240211,0.2635719944640074,0.9775380591946254
150,26,1,2,0.03820403770542836,0.9967800533812832,0.26293711046600454,0.9775921648169258
160,26,1,2,0.03796835363595624,0.9967999175152376,0.2639500080986702,0.9775058443915973
170,26,1,2,0.038075157786259514,0.9967909157530341,0.26484630471119813,0.977429460853598
180,26,1,2,0.03775866317474022,0.9968175908328271,0.26453045086625215,0.9774563783202385
190,26,1,2,0.037845625929950014,0.9968102613606977,0.26486877875177745,0.9774275455872581
200,26,1,2,0.03756593790782097,0.9968338342748513,0.26436165400050043,0.9774707634039586
100,28,1,2,0.038962280229411915,0.9967161465118026,0.2661456276363643,0.977318730900321
110,28,1,2,0.0387089034115128,0.9967375018416854,0.26648825378778385,0.9772895318636509
120,28,1,2,0.03872250651816084,0.9967363553325758,0.2669837507824496,0.977247304979167
130,28,1,2,0.03840800027862118,0.9967628628266365,0.2664853013461783,0.9772897834744819
140,28,1,2,0.03816327229699261,0.9967834892076234,0.26636993557433625,0.9772996150923796
150,28,1,2,0.03810945929726349,0.9967880247226351,0.2653133859438828,0.9773896555965137
160,28,1,2,0.037868604554633006,0.9968083246558546,0.26666554169039824,0.9772744231629631
170,28,1,2,0.037990450461400434,0.9967980551309806,0.26777340948717293,0.9771800092593845
180,28,1,2,0.037729082583885916,0.9968200839704435,0.26778776126705595,0.977178786182438
190,28,1,2,0.037783702102052445,0.9968154804797289,0.26766515364641635,0.9771892349599066
200,28,1,2,0.0375063092262089,0.9968388599523259,0.2665059268070595,0.9772880257464565
100,30,1,2,0.038911685552079044,0.9967204107773093,0.26409408363876763,0.9774935660907111
110,30,1,2,0.0387211168114062,0.9967364724610741,0.2636186388121448,0.9775340841039148
120,30,1,2,0.038814318380104844,0.9967286171637282,0.26463306340954834,0.977447633548708
130,30,1,2,0.03853178776486952,0.9967524296598372,0.2643328964633583,0.9774732141578724
140,30,1,2,0.03827148450603556,0.9967743687701635,0.26439794122767835,0.9774676709602772
150,30,1,2,0.03830255712287486,0.9967717498802885,0.2635867842915408,0.9775367987867006
160,30,1,2,0.03815939849259939,0.996783815703044,0.2642876840270179,0.9774770672192373
