remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.19935060882403932,0.9966505419755113,0.5343927620381688,0.9756727591246451,0.9756132765011365,WindSpeedMin,0.0009497704938156979
WindSpeedMin,0.19895674609777414,0.9966637641418221,0.5339609964125432,0.9757120539050916,0.9756762401887755,WindDirection,0.0011326751877313345
WindDirection,0.19715911806430242,0.9967237793718433,0.5276112723584163,0.9762862710267547,0.9761427347417162,WindSpeed,0.0017516601964788123
WindSpeed,0.1977341912680604,0.996704639355071,0.5265264742450926,0.9763836842708747,0.9759348384375648,Particulate,0.002784140916350187
Particulate,0.19866819642711314,0.9966734343006931,0.5284190490009434,0.9762136036638656,0.9757306148246526,WindSpeedMax,0.003309397526495375
WindSpeedMax,0.19639704128300442,0.9967490574964571,0.5345620429547059,0.9756573442830488,0.9761502824362507,VisibilityMax,0.005587942246976119
VisibilityMax,0.19718319862135888,0.9967229790230037,0.529011745096122,0.9761602141777964,0.9760359577971894,TemperatureMin,0.00670932884738211
TemperatureMin,0.19341993392584086,0.9968468700619662,0.5293122978765596,0.9761331178065927,0.9769041893967003,AbsoluteHumidityMin,0.006567000318142391
AbsoluteHumidityMin,0.18984458721190722,0.9969623632018347,0.523351103120114,0.9766676754640363,0.9777547266005847,Time,0.007328649271947331
Time,0.2050444243420134,0.9964564763522098,0.5626481844231498,0.9730321971663359,0.9740234009713528,ParticulateMin,0.008219723553700252
ParticulateMin,0.20389716252367496,0.9964960187704177,0.5539334539614583,0.9738611239297726,0.9742925201979772,TemperatureDifference,0.009207113426704348
TemperatureDifference,0.2233903762594686,0.9957940091254196,0.598766841357542,0.9694587221188904,0.9693735520224807,AbsoluteHumidityMax,0.010170710566875475
AbsoluteHumidityMax,0.21987603206151068,0.9959253042265593,0.5940538814874943,0.9699376174886415,0.9703090458433327,VisibilityMin,0.01101439730475076
VisibilityMin,0.2192586390115206,0.9959481548929869,0.5918754075282969,0.9701576986598585,0.9704721734239546,Frequency,0.01208936562522916
Frequency,0.27900174471313205,0.9934392536865148,0.7424197280666376,0.953046201902204,0.9532883227931166,TemperatureMax,0.01439808754502755
TemperatureMax,0.27779372310762623,0.9934959441229119,0.7393884492088757,0.9534288412241135,0.9537178704300436,RelativeHumidity,0.020757157723727493
RelativeHumidity,0.2813432440140055,0.9933286705429288,0.7456862533021026,0.9526321148980335,0.952466456011313,SYNOPCode,0.028811495099726667
SYNOPCode,0.2832042219352193,0.9932401220671553,0.7522761532217935,0.9517912011476102,0.9518364810046192,Visibility,0.031018643388770726
Visibility,0.31137179119701797,0.9918285724053202,0.8440859297758164,0.9393061002930748,0.9424088890567628,RainIntensityMin,0.05563766927175258
RainIntensityMin,0.3102438882290463,0.9918876650064018,0.8427158126292396,0.9395029766040577,0.9427775190872482,ParticulateMax,0.0654891489024674
ParticulateMax,0.3256385456238974,0.9910626036187057,0.881124018607297,0.9338628006318672,0.9369169476251302,Temperature,0.10403614969032361
Temperature,0.4182654235251883,0.9852550489231747,1.0720548277411128,0.9020948100134867,0.906019023950637,RainIntensityMax,0.14563403206881617
RainIntensityMax,0.4177363626351134,0.9852923268945434,1.0710105601266184,0.9022854521745756,0.9063702957378224,Distance,0.25700922247077956
Distance,0.949646279874243,0.9239913271785167,2.1274542687604407,0.6144398083794667,0.6211495218294272,RainIntensity,0.4645406952900548
RainIntensity,1.5208774080033423,0.8050479419675967,3.392215040721318,0.019746342116550353,0.028658438667655828,AbsoluteHumidity,1.0
AbsoluteHumidity,1.5208774080033423,0.8050479419675967,3.392215040721318,0.019746342116550353,0.028658438667655828,AbsoluteHumidity,1.0
