remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.29264244839654585,0.9947245846554315,0.7697239724142917,0.9642551460989134,0.9624160124581302,SYNOPCode,0.0
SYNOPCode,0.29291002583286957,0.9947149330996795,0.7706640780587797,0.9641677785196885,0.9622885087102969,WindDirection,0.0016407952537479825
WindDirection,0.2899526218601027,0.9948211170532777,0.7602576322000518,0.9651289456538955,0.9630676739784804,WindSpeedMin,0.0017771655971695987
WindSpeedMin,0.2889807248078164,0.9948557772358114,0.7588510449016296,0.9652578593431148,0.963344878992781,WindSpeedMax,0.0029161708706536504
WindSpeedMax,0.29015538857222006,0.9948138712333559,0.7594876135332742,0.9651995474172578,0.9631020557329744,WindSpeed,0.003976998601149304
WindSpeed,0.2878028730906027,0.994897626279299,0.7657196070188538,0.9646260924161059,0.9636546645611263,TemperatureMin,0.004458735912361134
TemperatureMin,0.28520278536582117,0.9949894022372842,0.7597098907224299,0.9651791745274697,0.9642417519444234,AbsoluteHumidityMin,0.006656347241125213
AbsoluteHumidityMin,0.2822366928504066,0.9950930801524177,0.7472154296741235,0.966315107638905,0.9650309872955308,Particulate,0.006367257010132135
Particulate,0.28208981829317875,0.9950981858964506,0.7475981432961446,0.9662805929109713,0.9650793142202303,Frequency,0.008462289379656799
Frequency,0.3299225097052537,0.9932948899628122,0.8886000945285433,0.9523617047745112,0.9518989906151032,TemperatureMax,0.010256099412929109
TemperatureMax,0.3278956190694401,0.9933770230541449,0.889890273641436,0.9522232700548736,0.9524506435625076,ParticulateMin,0.010190095308399373
ParticulateMin,0.3276006913782368,0.993388931849094,0.8865203631830888,0.9525844346980308,0.9525756912825828,Time,0.011357765387413411
Time,0.3378630975427312,0.9929682481903233,0.9187814904261995,0.9490706684449495,0.9496169434736123,VisibilityMin,0.014873918479276283
VisibilityMin,0.3360416387425353,0.9930438617834184,0.9161685873422739,0.9493599302260248,0.9501919939676798,TemperatureDifference,0.01688348664957013
TemperatureDifference,0.3572470272783188,0.9921382494062597,0.9732108846844142,0.9428577395362909,0.943655605867996,VisibilityMax,0.023126562405546253
VisibilityMax,0.35686138176723003,0.9921552136476124,0.9680053940888725,0.9434673874502322,0.9437329102296843,RelativeHumidity,0.031764381407465556
RelativeHumidity,0.3701113222313604,0.9915618594128838,1.0041222535911076,0.939170158403537,0.9393473481515624,AbsoluteHumidityMax,0.03620971437666245
AbsoluteHumidityMax,0.3675913662639081,0.9916763728191714,0.9933283060780435,0.9404709263958807,0.9404011158616692,ParticulateMax,0.037963451305328556
ParticulateMax,0.36531006125226423,0.99177936658481,1.0172438026519397,0.9375699609372334,0.9411756458625377,Distance,0.04633238660253989
Distance,0.4324807034931863,0.9884783286116052,1.236304204083763,0.9077865663950863,0.9176690923964883,Visibility,0.07410268927884982
Visibility,0.4997506853991789,0.9846153078024072,1.3865865077758546,0.8840054882353834,0.8893836187608425,RainIntensityMin,0.159712243254232
RainIntensityMin,0.4966091472856345,0.9848081226879506,1.3788356122024232,0.8852986618039448,0.8906499253106629,Temperature,0.17024071173269137
Temperature,0.6517105985825289,0.9738367565352839,1.7732210964144688,0.8102991484419393,0.817897624063355,RainIntensity,0.27433988038307094
RainIntensity,0.6586174275752082,0.9732792618283961,1.791474554410801,0.8063735026736166,0.8143767492477013,AbsoluteHumidity,0.3858337966920188
AbsoluteHumidity,1.753912381845598,0.8105049791681564,3.148557098597191,0.40190985218529474,0.3928545880131511,RainIntensityMax,1.0
RainIntensityMax,1.753912381845598,0.8105049791681564,3.148557098597191,0.40190985218529474,0.3928545880131511,RainIntensityMax,1.0
